Model,Template,Shot Count,Language,Accuracy,Bootstrap STD
openai/gpt-4o-mini,PROMPT_1,0,zulu,0.73,0.0258104853800845
openai/gpt-4o-mini,PROMPT_1,5,zulu,0.7333333333333333,0.025063641439787284
openai/gpt-4o-mini,PROMPT_2,0,zulu,0.7166666666666667,0.02645435292893948
openai/gpt-4o-mini,PROMPT_2,5,zulu,0.74,0.02571931915463117
openai/gpt-4o-mini,PROMPT_3,0,zulu,0.7366666666666667,0.024874300660186074
openai/gpt-4o-mini,PROMPT_3,5,zulu,0.76,0.02496023415132336
openai/gpt-4o-mini,PROMPT_4,0,zulu,0.7333333333333333,0.026110108727804598
openai/gpt-4o-mini,PROMPT_4,5,zulu,0.7233333333333334,0.025448373665565002
openai/gpt-4o-mini,PROMPT_5,0,zulu,0.73,0.024443839487463686
openai/gpt-4o-mini,PROMPT_5,5,zulu,0.7333333333333333,0.025736697534843124
openai/gpt-4o,PROMPT_1,0,zulu,0.8766666666666667,0.018226842232756
openai/gpt-4o,PROMPT_1,5,zulu,0.92,0.015284750570421491
openai/gpt-4o,PROMPT_2,0,zulu,0.9133333333333333,0.01559300947362133
openai/gpt-4o,PROMPT_2,5,zulu,0.9333333333333333,0.014649177451311045
openai/gpt-4o,PROMPT_3,0,zulu,0.8966666666666666,0.01786697729829469
openai/gpt-4o,PROMPT_3,5,zulu,0.9233333333333333,0.015119073678267756
openai/gpt-4o,PROMPT_4,0,zulu,0.92,0.015634687574606523
openai/gpt-4o,PROMPT_4,5,zulu,0.93,0.01468520608564203
openai/gpt-4o,PROMPT_5,0,zulu,0.91,0.016281931362368808
openai/gpt-4o,PROMPT_5,5,zulu,0.92,0.015856837291493186
openai/gpt-4,PROMPT_1,0,zulu,0.6566666666666666,0.02721060577544474
openai/gpt-4,PROMPT_1,5,zulu,0.7,0.026314254692086567
openai/gpt-4,PROMPT_2,0,zulu,0.6366666666666667,0.027857170431406782
openai/gpt-4,PROMPT_2,5,zulu,0.71,0.02624362758630919
openai/gpt-4,PROMPT_3,0,zulu,0.66,0.027110878300457587
openai/gpt-4,PROMPT_3,5,zulu,0.72,0.02547153509311914
openai/gpt-4,PROMPT_4,0,zulu,0.63,0.028047103237232893
openai/gpt-4,PROMPT_4,5,zulu,0.6966666666666667,0.02486167867756855
openai/gpt-4,PROMPT_5,0,zulu,0.4766666666666667,0.02880038579988508
openai/gpt-4,PROMPT_5,5,zulu,0.7166666666666667,0.026211426685491368
openai/gpt-3.5-turbo,PROMPT_1,0,zulu,0.31333333333333335,0.026895283353529975
openai/gpt-3.5-turbo,PROMPT_1,5,zulu,0.34,0.02649691281807918
openai/gpt-3.5-turbo,PROMPT_2,0,zulu,0.31333333333333335,0.026554576922925274
openai/gpt-3.5-turbo,PROMPT_2,5,zulu,0.34,0.027333407316973046
openai/gpt-3.5-turbo,PROMPT_3,0,zulu,0.28,0.02559233370453825
openai/gpt-3.5-turbo,PROMPT_3,5,zulu,0.32666666666666666,0.027644029092092286
openai/gpt-3.5-turbo,PROMPT_4,0,zulu,0.32,0.02640894713707627
openai/gpt-3.5-turbo,PROMPT_4,5,zulu,0.36333333333333334,0.027526810970801216
openai/gpt-3.5-turbo,PROMPT_5,0,zulu,0.3333333333333333,0.026624131910730913
openai/gpt-3.5-turbo,PROMPT_5,5,zulu,0.33,0.027291821322717017
